ElectionDate,PartyCode,PartyName,RaceCode,RaceName,CountyCode,CountyName,Juris1num,Juris2num,Precincts,PrecinctsReporting,CanNameLast,CanNameFirst,CanNameMiddle,CanVotes
8/28/18,REP,Republican Party,USS,United States Senator,ALA,Alachua,   , ,63,63,De La Fuente,Roque,Rocky,2185
8/28/18,REP,Republican Party,USS,United States Senator,BAK,Baker,   , ,9,9,De La Fuente,Roque,Rocky,244
8/28/18,REP,Republican Party,USS,United States Senator,BAY,Bay,   , ,44,44,De La Fuente,Roque,Rocky,1771
8/28/18,REP,Republican Party,USS,United States Senator,BRA,Bradford,   , ,14,14,De La Fuente,Roque,Rocky,306
8/28/18,REP,Republican Party,USS,United States Senator,BRE,Brevard,   , ,174,174,De La Fuente,Roque,Rocky,7774
8/28/18,REP,Republican Party,USS,United States Senator,BRO,Broward,   , ,577,577,De La Fuente,Roque,Rocky,9038
8/28/18,REP,Republican Party,USS,United States Senator,CAL,Calhoun,   , ,11,11,De La Fuente,Roque,Rocky,113
8/28/18,REP,Republican Party,USS,United States Senator,CHA,Charlotte,   , ,67,67,De La Fuente,Roque,Rocky,2938
8/28/18,REP,Republican Party,USS,United States Senator,CIT,Citrus,   , ,31,31,De La Fuente,Roque,Rocky,2405
8/28/18,REP,Republican Party,USS,United States Senator,CLA,Clay,   , ,47,47,De La Fuente,Roque,Rocky,2527
8/28/18,REP,Republican Party,USS,United States Senator,CLL,Collier,   , ,59,59,De La Fuente,Roque,Rocky,3428
8/28/18,REP,Republican Party,USS,United States Senator,CLM,Columbia,   , ,22,22,De La Fuente,Roque,Rocky,734
8/28/18,REP,Republican Party,USS,United States Senator,DAD,Miami-Dade,   , ,762,762,De La Fuente,Roque,Rocky,12386
8/28/18,REP,Republican Party,USS,United States Senator,DES,Desoto,   , ,15,15,De La Fuente,Roque,Rocky,272
8/28/18,REP,Republican Party,USS,United States Senator,DIX,Dixie,   , ,10,10,De La Fuente,Roque,Rocky,220
8/28/18,REP,Republican Party,USS,United States Senator,DUV,Duval,   , ,199,199,De La Fuente,Roque,Rocky,6929
8/28/18,REP,Republican Party,USS,United States Senator,ESC,Escambia,   , ,79,79,De La Fuente,Roque,Rocky,4824
8/28/18,REP,Republican Party,USS,United States Senator,FLA,Flagler,   , ,25,25,De La Fuente,Roque,Rocky,1078
8/28/18,REP,Republican Party,USS,United States Senator,FRA,Franklin,   , ,8,8,De La Fuente,Roque,Rocky,238
8/28/18,REP,Republican Party,USS,United States Senator,GAD,Gadsden,   , ,25,25,De La Fuente,Roque,Rocky,213
